,id,x,y,osmid,geometry,highway
0,0,24.9870136,60.2608063,3099295747,POINT (24.9870136 60.2608063),tertiary
1,1,24.9616884,60.1875899,33980425,POINT (24.9616884 60.1875899),secondary
2,2,25.1451176,60.2059646,516685833,POINT (25.1451176 60.2059646),residential
3,3,24.986542,60.2610812,3099295755,POINT (24.986542 60.2610812),tertiary
4,4,25.0584933,60.266957,1667104780,POINT (25.0584933 60.266957),tertiary
5,5,25.0583316,60.2669381,1667104783,POINT (25.0583316 60.2669381),tertiary
6,6,25.0110923,60.2690826,91291669,POINT (25.0110923 60.2690826),residential
7,7,25.0862317,60.2390349,31490081,POINT (25.0862317 60.2390349),tertiary
8,8,24.9603373,60.1844856,1934196771,POINT (24.9603373 60.1844856),unclassified
9,9,25.0865721,60.2420359,31490088,POINT (25.0865721 60.2420359),residential
10,10,24.9510716,60.1867476,5938774057,POINT (24.9510716 60.1867476),secondary
11,11,25.088501,60.2437963,31490093,POINT (25.088501 60.2437963),residential
12,12,24.9031046,60.2366567,641171504,POINT (24.9031046 60.2366567),secondary
13,13,24.9424421,60.2543034,1392574512,POINT (24.9424421 60.2543034),residential
14,14,25.0898592,60.2446817,31490096,POINT (25.0898592 60.2446817),residential
15,15,25.1875961,60.2204651,1136361521,POINT (25.1875961 60.2204651),unclassified
16,16,25.1461061,60.2204943,462094407,POINT (25.1461061 60.2204943),tertiary
17,17,25.1171876,60.225051,25526347,POINT (25.1171876 60.225051),primary
18,18,24.9441478,60.2545942,1392574542,POINT (24.9441478 60.2545942),residential
19,19,25.0023976,60.2396081,1767768143,POINT (25.0023976 60.2396081),tertiary
20,20,25.0668197,60.2279129,1730150478,POINT (25.0668197 60.2279129),tertiary
21,21,25.1331486,60.2330422,25526351,POINT (25.1331486 60.2330422),primary
22,22,24.9431211,60.1869463,33980499,POINT (24.9431211 60.1869463),primary
23,23,25.1505376,60.2452086,25526356,POINT (25.1505376 60.2452086),secondary
24,24,24.9451468,60.1881846,33980502,POINT (24.9451468 60.1881846),residential
25,25,25.1613823,60.2490095,25526359,POINT (25.1613823 60.2490095),secondary
26,26,25.1732558,60.2511909,25526361,POINT (25.1732558 60.2511909),unclassified
27,27,24.8574693,60.2365683,2320597085,POINT (24.8574693 60.2365683),primary
28,28,25.1927727,60.2554298,25526365,POINT (25.1927727 60.2554298),secondary
29,29,25.2053105,60.2591539,25526367,POINT (25.2053105 60.2591539),secondary
30,30,25.2103373,60.2617182,25526369,POINT (25.2103373 60.2617182),secondary
31,31,25.065807,60.2280555,1730150506,POINT (25.065807 60.2280555),tertiary
32,32,24.9433534,60.2551969,1392574574,POINT (24.9433534 60.2551969),residential
33,33,24.8869657,60.1538942,4064444527,POINT (24.8869657 60.1538942),residential
34,34,25.1775591,60.2519796,25526390,POINT (25.1775591 60.2519796),secondary
35,35,25.0031274,60.2404106,1767768183,POINT (25.0031274 60.2404106),tertiary
36,36,25.1778624,60.2516377,25526397,POINT (25.1778624 60.2516377),unclassified
37,37,24.9384214,60.1970403,670367872,POINT (24.9384214 60.1970403),living_street
38,38,25.1351092,60.2063514,357892225,POINT (25.1351092 60.2063514),secondary
39,39,24.8593238,60.1631418,25198727,POINT (24.8593238 60.1631418),motorway
40,40,25.0656893,60.2283092,1730150536,POINT (25.0656893 60.2283092),tertiary
41,41,24.9392136,60.1971289,670367881,POINT (24.9392136 60.1971289),living_street
42,42,24.8738328,60.2402879,655163532,POINT (24.8738328 60.2402879),secondary
43,43,25.0458659,60.1419823,1032028300,POINT (25.0458659 60.1419823),tertiary
44,44,24.8739376,60.2403619,655163535,POINT (24.8739376 60.2403619),residential
45,45,24.9663345,60.2182899,35651735,POINT (24.9663345 60.2182899),residential
46,46,24.9285994,60.1973636,5167841433,POINT (24.9285994 60.1973636),tertiary
47,47,24.9421838,60.2556221,1392574626,POINT (24.9421838 60.2556221),residential
48,48,24.9278808,60.1988819,5167841443,POINT (24.9278808 60.1988819),residential
49,49,25.0837917,60.238478,31490210,POINT (25.0837917 60.238478),unclassified
50,50,25.082716,60.2382015,31490211,POINT (25.082716 60.2382015),residential
51,51,24.9157558,60.180793,320864425,POINT (24.9157558 60.180793),primary
52,52,25.0847907,60.2379161,31490225,POINT (25.0847907 60.2379161),unclassified
53,53,25.0872963,60.2429651,1091797173,POINT (25.0872963 60.2429651),residential
54,54,25.1005352,60.2211026,526254268,POINT (25.1005352 60.2211026),residential
55,55,24.8906382,60.2101484,91193534,POINT (24.8906382 60.2101484),residential
56,56,24.8898644,60.2110916,91193535,POINT (24.8898644 60.2110916),residential
57,57,25.1014553,60.2208289,526254271,POINT (25.1014553 60.2208289),residential
58,58,25.0326368,60.1739661,3111715007,POINT (25.0326368 60.1739661),residential
59,59,25.0512883,60.2296244,1730150597,POINT (25.0512883 60.2296244),tertiary
60,60,24.9483525,60.2559272,1392574669,POINT (24.9483525 60.2559272),secondary
61,61,25.0537618,60.229782,1730150606,POINT (25.0537618 60.229782),trunk_link
62,62,24.9485406,60.2559437,1392574671,POINT (24.9485406 60.2559437),secondary
63,63,24.9482275,60.2559719,1392574673,POINT (24.9482275 60.2559719),secondary
64,64,25.0541824,60.2299389,1730150618,POINT (25.0541824 60.2299389),tertiary
65,65,24.9486342,60.2560062,1392574693,POINT (24.9486342 60.2560062),residential
66,66,24.9784411,60.2654522,29786344,POINT (24.9784411 60.2654522),residential
67,67,24.9778678,60.2661143,29786346,POINT (24.9778678 60.2661143),residential
68,68,24.9186243,60.2049543,2430271727,POINT (24.9186243 60.2049543),tertiary
69,69,25.0513312,60.2301431,1730150643,POINT (25.0513312 60.2301431),tertiary
70,70,25.0532122,60.2302474,1730150645,POINT (25.0532122 60.2302474),trunk_link
71,71,25.0518737,60.2304711,1730150652,POINT (25.0518737 60.2304711),tertiary
72,72,24.8952029,60.2496111,1446838525,POINT (24.8952029 60.2496111),tertiary
