,id,x,y,osmid,geometry,highway
0,0,-73.9975944,40.7140611,1773060097,POINT (-73.9975944 40.7140611),residential
1,1,-73.9980743,40.7137811,1773060099,POINT (-73.9980743 40.7137811),secondary
2,2,-73.9615014,40.7602517,6177439749,POINT (-73.9615014 40.7602517),primary
3,3,-73.9692162,40.7634876,6177439750,POINT (-73.96921620000001 40.7634876),secondary
4,4,-73.9694372,40.7635803,6177439752,POINT (-73.9694372 40.7635803),secondary
5,5,-74.0015481,40.7096039,278609934,POINT (-74.00154809999999 40.7096039),primary
6,6,-73.9661155,40.762187,6177439759,POINT (-73.9661155 40.762187),secondary
7,7,-73.9326052,40.864219,42434589,POINT (-73.9326052 40.864219),unclassified
8,8,-73.9937263,40.720932,1773076509,POINT (-73.99372630000001 40.720932),residential
9,9,-73.9939846,40.7202997,1773076511,POINT (-73.9939846 40.7202997),primary
10,10,-73.9941898,40.719922,1773076513,POINT (-73.9941898 40.719922),primary
11,11,-73.9821944,40.7778264,6624493612,POINT (-73.9821944 40.7778264),primary
12,12,-73.9821888,40.7779541,6624493613,POINT (-73.9821888 40.7779541),residential
13,13,-73.9748707,40.7342008,42451018,POINT (-73.9748707 40.7342008),primary
14,14,-74.0106787,40.7298427,246890579,POINT (-74.0106787 40.7298427),trunk
15,15,-74.0135064,40.7069636,4149936235,POINT (-74.0135064 40.7069636),secondary
16,16,-74.0139447,40.7071446,4149936245,POINT (-74.0139447 40.7071446),residential
17,17,-73.9309931,40.8646389,42434722,POINT (-73.93099309999999 40.8646389),unclassified
18,18,-73.972473,40.7427908,42451126,POINT (-73.97247299999999 40.7427908),primary
19,19,-73.9314679,40.8639056,42434780,POINT (-73.9314679 40.8639056),residential
20,20,-74.0121348,40.7089925,1506902240,POINT (-74.0121348 40.7089925),secondary
21,21,-73.9877451,40.7440672,42434800,POINT (-73.9877451 40.7440672),residential
22,22,-73.993813,40.746618,42434807,POINT (-73.993813 40.746618),residential
23,23,-74.0164164,40.7048817,246923513,POINT (-74.0164164 40.7048817),trunk
24,24,-73.9966452,40.7478218,42434810,POINT (-73.9966452 40.7478218),secondary
25,25,-74.0023198,40.7502203,42434821,POINT (-74.0023198 40.7502203),unclassified
26,26,-74.0075669,40.7523939,42434827,POINT (-74.0075669 40.7523939),residential
27,27,-73.983255,40.710816,42434832,POINT (-73.983255 40.710816),secondary
28,28,-73.9833098,40.7113401,42434833,POINT (-73.9833098 40.7113401),residential
29,29,-74.0059661,40.7203782,42434839,POINT (-74.00596609999999 40.7203782),primary
30,30,-74.0064195,40.7204244,42434842,POINT (-74.00641950000001 40.7204244),primary
31,31,-74.006055,40.7244231,4616536348,POINT (-74.006055 40.7244231),residential
32,32,-74.006671,40.7204501,42434845,POINT (-74.006671 40.7204501),primary
33,33,-74.0058541,40.7256907,4616536351,POINT (-74.00585409999999 40.7256907),primary
34,34,-74.0059578,40.7250366,4616536352,POINT (-74.0059578 40.7250366),primary
35,35,-73.974138,40.738185,1632878885,POINT (-73.974138 40.738185),residential
36,36,-74.0056591,40.7200755,42434855,POINT (-74.0056591 40.7200755),tertiary
37,37,-73.9590324,40.7583833,3551756586,POINT (-73.9590324 40.7583833),residential
38,38,-73.9934634,40.7216109,1773076778,POINT (-73.9934634 40.7216109),residential
39,39,-74.0100069,40.7207656,42434871,POINT (-74.01000689999999 40.7207656),residential
40,40,-74.0149206,40.7072065,3574612293,POINT (-74.0149206 40.7072065),motorway_link
41,41,-73.9491739,40.7909541,42434894,POINT (-73.94917390000001 40.7909541),secondary
42,42,-73.9476849,40.7903168,42434895,POINT (-73.9476849 40.7903168),secondary
43,43,-73.9460871,40.7896375,42434898,POINT (-73.9460871 40.7896375),primary
44,44,-73.952522,40.792347,42434904,POINT (-73.952522 40.792347),secondary
45,45,-73.950917,40.791675,42434905,POINT (-73.950917 40.791675),secondary
46,46,-73.941478,40.787692,42434910,POINT (-73.941478 40.787692),primary
47,47,-73.9438642,40.7886856,42434912,POINT (-73.94386419999999 40.7886856),primary
48,48,-73.9735603,40.739037,1632878962,POINT (-73.9735603 40.739037),residential
49,49,-73.9349762,40.8280057,42434935,POINT (-73.93497619999999 40.8280057),primary_link
