,id,x,y,osmid,geometry,highway
0,0,14.4146451,50.0007006,30081024,POINT (14.4146451 50.0007006),residential
1,1,14.4883924,50.1267189,21299201,POINT (14.4883924 50.1267189),secondary
2,2,14.4990887,50.1185299,21299202,POINT (14.4990887 50.1185299),secondary
3,3,14.5072287,50.1228063,21299203,POINT (14.5072287 50.1228063),secondary
4,4,14.3638622,50.1021193,60948481,POINT (14.3638622 50.1021193),residential
5,5,14.4268938,50.0575307,64815109,POINT (14.4268938 50.0575307),tertiary
6,6,14.5005817,50.1275002,21299205,POINT (14.5005817 50.1275002),tertiary
7,7,14.426199,50.057489,64815111,POINT (14.426199 50.057489),tertiary
8,8,14.4112069,50.0020373,30081029,POINT (14.4112069 50.0020373),residential
9,9,14.4940575,50.1286765,21299209,POINT (14.4940575 50.1286765),tertiary
10,10,14.4077683,50.0020583,30081033,POINT (14.4077683 50.0020583),secondary
11,11,14.4882651,50.1266596,21299211,POINT (14.4882651 50.1266596),tertiary
12,12,14.4990512,50.1183755,21299212,POINT (14.4990512 50.1183755),secondary
13,13,14.3646957,50.1027311,60948485,POINT (14.3646957 50.1027311),residential
14,14,14.3649721,50.1021605,60948489,POINT (14.3649721 50.1021605),residential
15,15,14.4871422,50.1275076,21299215,POINT (14.4871422 50.1275076),secondary
16,16,14.4870807,50.1277194,21299216,POINT (14.4870807 50.1277194),secondary_link
17,17,14.4865284,50.1274453,21299217,POINT (14.4865284 50.1274453),trunk_link
18,18,14.4083142,50.0013906,30081035,POINT (14.4083142 50.0013906),residential
19,19,14.4348125,49.9924781,2142306319,POINT (14.4348125 49.9924781),residential
20,20,14.4852698,50.1276766,21299221,POINT (14.4852698 50.1276766),trunk_link
21,21,14.423268,50.0574366,64815125,POINT (14.423268 50.0574366),tertiary
22,22,14.5050254,50.1184675,294780951,POINT (14.5050254 50.1184675),residential
23,23,14.5013752,50.1248588,21299224,POINT (14.5013752 50.1248588),residential
24,24,14.503048,50.1242959,21299225,POINT (14.503048 50.1242959),residential
25,25,14.4989181,50.1258964,21299226,POINT (14.4989181 50.1258964),residential
26,26,14.5037932,50.0567467,245563417,POINT (14.5037932 50.0567467),residential
27,27,14.5038607,50.1248344,21299228,POINT (14.5038607 50.1248344),tertiary
28,28,14.3650359,50.1016634,60948509,POINT (14.3650359 50.1016634),residential
29,29,14.5050946,50.0567324,245563418,POINT (14.5050946 50.0567324),residential
