id	osmid	x	y
0	3099295747	24.9870136	60.2608063
1	33980425	24.9616884	60.1875899
2	516685833	25.1451176	60.2059646
3	3099295755	24.986542	60.2610812
4	1667104780	25.0584933	60.266957
5	1667104783	25.0583316	60.2669381
6	91291669	25.0110923	60.2690826
7	31490081	25.0862317	60.2390349
8	1934196771	24.9603373	60.1844856
9	31490088	25.0865721	60.2420359
10	5938774057	24.9510716	60.1867476
11	31490093	25.088501	60.2437963
12	641171504	24.9031046	60.2366567
13	1392574512	24.9424421	60.2543034
14	31490096	25.0898592	60.2446817
15	1136361521	25.1875961	60.2204651
16	462094407	25.1461061	60.2204943
17	25526347	25.1171876	60.225051
18	1392574542	24.9441478	60.2545942
19	1767768143	25.0023976	60.2396081
20	1730150478	25.0668197	60.2279129
21	25526351	25.1331486	60.2330422
22	33980499	24.9431211	60.1869463
23	25526356	25.1505376	60.2452086
24	33980502	24.9451468	60.1881846
25	25526359	25.1613823	60.2490095
26	25526361	25.1732558	60.2511909
27	2320597085	24.8574693	60.2365683
28	25526365	25.1927727	60.2554298
29	25526367	25.2053105	60.2591539
30	25526369	25.2103373	60.2617182
31	1730150506	25.065807	60.2280555
32	1392574574	24.9433534	60.2551969
33	4064444527	24.8869657	60.1538942
34	25526390	25.1775591	60.2519796
35	1767768183	25.0031274	60.2404106
36	25526397	25.1778624	60.2516377
37	670367872	24.9384214	60.1970403
38	357892225	25.1351092	60.2063514
39	25198727	24.8593238	60.1631418
40	1730150536	25.0656893	60.2283092
41	670367881	24.9392136	60.1971289
42	655163532	24.8738328	60.2402879
43	1032028300	25.0458659	60.1419823
44	655163535	24.8739376	60.2403619
45	35651735	24.9663345	60.2182899
46	5167841433	24.9285994	60.1973636
47	1392574626	24.9421838	60.2556221
48	5167841443	24.9278808	60.1988819
49	31490210	25.0837917	60.238478
50	31490211	25.082716	60.2382015
51	320864425	24.9157558	60.180793
52	31490225	25.0847907	60.2379161
53	1091797173	25.0872963	60.2429651
54	526254268	25.1005352	60.2211026
55	91193534	24.8906382	60.2101484
56	91193535	24.8898644	60.2110916
57	526254271	25.1014553	60.2208289
58	3111715007	25.0326368	60.1739661
59	1730150597	25.0512883	60.2296244
60	1392574669	24.9483525	60.2559272
61	1730150606	25.0537618	60.229782
62	1392574671	24.9485406	60.2559437
63	1392574673	24.9482275	60.2559719
64	1730150618	25.0541824	60.2299389
