id	osmid	x	y
0	1773060097	-73.9975944	40.7140611
1	1773060099	-73.9980743	40.7137811
2	6177439749	-73.9615014	40.7602517
3	6177439750	-73.9692162	40.7634876
4	6177439752	-73.9694372	40.7635803
5	278609934	-74.0015481	40.7096039
6	6177439759	-73.9661155	40.762187
7	42434589	-73.9326052	40.864219
8	1773076509	-73.9937263	40.720932
9	1773076511	-73.9939846	40.7202997
10	1773076513	-73.9941898	40.719922
11	6624493612	-73.9821944	40.7778264
12	6624493613	-73.9821888	40.7779541
13	42451018	-73.9748707	40.7342008
14	246890579	-74.0106787	40.7298427
15	4149936235	-74.0135064	40.7069636
16	4149936245	-74.0139447	40.7071446
17	42434722	-73.9309931	40.8646389
18	42451126	-73.972473	40.7427908
19	42434780	-73.9314679	40.8639056
20	1506902240	-74.0121348	40.7089925
21	42434800	-73.9877451	40.7440672
22	42434807	-73.993813	40.746618
23	246923513	-74.0164164	40.7048817
24	42434810	-73.9966452	40.7478218
25	42434821	-74.0023198	40.7502203
26	42434827	-74.0075669	40.7523939
27	42434832	-73.983255	40.710816
28	42434833	-73.9833098	40.7113401
29	42434839	-74.0059661	40.7203782
30	42434842	-74.0064195	40.7204244
31	4616536348	-74.006055	40.7244231
32	42434845	-74.006671	40.7204501
33	4616536351	-74.0058541	40.7256907
34	4616536352	-74.0059578	40.7250366
35	1632878885	-73.974138	40.738185
36	42434855	-74.0056591	40.7200755
37	3551756586	-73.9590324	40.7583833
38	1773076778	-73.9934634	40.7216109
39	42434871	-74.0100069	40.7207656
40	3574612293	-74.0149206	40.7072065
41	42434894	-73.9491739	40.7909541
42	42434895	-73.9476849	40.7903168
43	42434898	-73.9460871	40.7896375
44	42434904	-73.952522	40.792347
45	42434905	-73.950917	40.791675
46	42434910	-73.941478	40.787692
47	42434912	-73.9438642	40.7886856
48	1632878962	-73.9735603	40.739037
49	42434935	-73.9349762	40.8280057
50	6166413694	-73.9731928	40.7456132
51	42434946	-73.984076	40.749102
52	42451332	-73.9576339	40.7602241
53	42434948	-73.982473	40.748432
54	42434951	-73.9807612	40.7477162
55	42434954	-73.979238	40.747068
56	246579597	-74.0076956	40.7477566
57	42434959	-73.9776265	40.7463908
58	6166413713	-73.9683152	40.7479295
59	42434962	-73.9767914	40.7460357
60	1632878994	-73.9761435	40.7401752
61	3630219668	-73.985642	40.7179463
62	42434965	-73.975394	40.745442
63	42434969	-73.9747494	40.7451721
64	42434974	-73.973024	40.7444495
65	42451370	-74.0159533	40.706677
66	247120300	-73.9947945	40.7693529
67	42434989	-73.9355668	40.8417005
68	42451375	-74.0164671	40.7050716
69	42434992	-73.937028	40.842314
70	5799117240	-73.9999657	40.7268876
71	42435002	-73.942459	40.844601
72	486867405	-73.9913214	40.7194205
73	6262915547	-74.0076525	40.7083571
74	247120348	-73.9949384	40.7700378
75	6262915548	-74.0074464	40.7072268
76	486867432	-73.9921746	40.7196806
77	5145330172	-73.9734571	40.7292368
78	486867459	-73.9890504	40.7187279
79	486867490	-73.9898073	40.7189587
80	246579753	-74.0078318	40.7480596
81	6885524021	-73.9537325	40.8253058
82	486867513	-73.9882397	40.7184807
83	6885524030	-73.9552907	40.8236481
84	1763787328	-73.9309132	40.8668062
85	486867534	-73.9874505	40.71824
86	486867548	-73.9866261	40.7179497
87	42451564	-73.9435449	40.8102846
88	370705004	-74.0048445	40.7124759
89	42435197	-73.9353154	40.8404757
90	42435198	-73.9360326	40.8410606
91	42435207	-73.945052	40.802599
92	42451593	-73.9883784	40.7164713
93	42435211	-73.9434367	40.801918
94	42451604	-73.9854578	40.7220522
95	42435222	-73.9416923	40.8011826
96	42435230	-73.9402073	40.8005566
97	42435231	-73.9386046	40.7998809
98	42435234	-73.936361	40.798935
99	42435237	-73.9339889	40.7979349
100	42435240	-73.931743	40.796988
101	42435253	-73.9801203	40.7705324
102	6882378422	-73.9249627	40.8610468
103	42435257	-73.9796618	40.7711614
104	42435261	-73.9792043	40.771789
