u	v	length
0	35317	81.311
0	8854	123.089
0	6923	161.286
0	6920	87.892
1	22593	170.68
1	15728	141.337
1	2	82.098
1	55288	82.014
2	3	79.044
2	1	82.098
2	13082	140.831
3	22597	170.801
3	2	79.044
3	4	84.984
4	5	85.143
4	3	84.984
4	22598	170.8
4	13537	142.12400000000002
5	13549	143.456
5	4	85.143
5	6	79.137
6	22605	171.029
6	8	82.182
6	5	79.137
7	9	113.324
7	55282	114.67800000000001
7	50368	93.793
8	3658	143.477
8	10	81.93
8	6	82.182
9	13	23.514
9	7	113.324
10	22608	170.932
10	11	79.119
10	8	81.93
11	15753	143.796
11	14	82.116
11	10	79.119
12	43507	65.87
12	16	78.763
12	11552	206.906
13	9	23.514
13	15	73.661
13	49423	208.86200000000002
14	256	170.898
14	17	82.014
14	11	82.116
15	13	73.661
15	36545	283.036
15	18	76.816
16	50408	79.876
16	12	78.763
16	4456	211.51999999999998
17	22611	171.029
17	14	82.014
17	20	55.96
18	46402	76.694
18	15	76.816
18	36543	274.413
19	21	78.874
19	50408	77.392
19	11554	207.262
20	782	65.558
20	55245	26.779
20	17	55.96
21	36896	79.318
21	19	78.874
21	3660	206.25
21	3657	211.466
22	10549	76.956
22	32030	142.141
23	27	78.721
23	36896	79.224
23	54981	208.481
24	18452	40.066
24	50026	44.059
24	28	37.403
25	22	192.62199999999999
25	12900	81.19999999999999
25	12899	76.522
26	28288	80.892
26	25	136.609
27	23	78.721
27	11560	207.434
27	30	79.79599999999999
28	18452	54.287
28	24	37.403
28	29	11.358
29	28	11.358
29	32	37.911
29	49430	164.248
30	31	78.086
30	54979	208.642
30	27	79.79599999999999
31	33	80.416
31	30	78.086
31	11563	206.914
32	6776	76.396
32	29	37.911
32	34	76.736
33	47125	78.544
33	31	80.416
33	54943	207.91400000000002
34	32	76.736
34	47985	75.908
34	14429	76.226
35	37	81.996
35	47125	75.927
35	11568	207.618
35	36128	207.29
36	10375	76.536
36	94	78.796
37	38	78.901
37	35	81.996
37	15946	207.582
38	40	78.739
38	37	78.901
38	11571	207.772
39	1562	80.208
39	24680	78.332
40	41	78.876
40	38	78.739
40	29526	207.365
41	42	79.269
41	40	78.876
41	20003	129.701
42	43	79.601
42	41	79.269
42	20006	66.642
42	29523	207.15099999999998
43	46	78.816
43	42	79.601
43	11578	208.075
43	14654	99.465
43	20006	103.88
44	45	71.774
44	27876	78.774
44	20293	136.564
45	6571	99.287
46	43616	78.526
46	43	78.816
46	14654	61.102
47	48205	18.436
47	51817	1088.5289999999998
48	43616	79.806
48	20009	163.837
48	54968	78.969
49	40985	44.075
49	16583	78.394
49	45503	49.539
50	45693	66.995
50	40985	31.85
50	672	130.513
51	43066	75.888
52	8911	11.576
53	9237	203.646
53	32090	79.578
53	55008	293.496
54	41559	26.526
55	41561	41.785
56	31929	28.778
56	41493	77.706
56	53176	351.026
57	4978	233.36
57	34313	85.517
58	1845	188.06300000000002
58	50113	57.897999999999996
58	50833	105.56
59	37936	24.738
59	41493	52.515
59	48426	66.016
60	57	121.453
