id	osmid	x	y
0	42860546	-73.9404529	40.7436214
1	42467330	-73.933676	40.655156
2	42467331	-73.932706	40.655216
3	42467333	-73.931772	40.655273
4	42467334	-73.930768	40.655336
5	42467335	-73.929762	40.655398
6	42467337	-73.928827	40.655456
7	42991626	-74.243741	40.509992
8	42467339	-73.927856	40.655516
9	42991630	-74.24499	40.509622
10	42467343	-73.926888	40.655576
11	42467346	-73.925953	40.655632
12	42860563	-73.9376388	40.7432973
13	42991635	-74.245248	40.509543
14	42467350	-73.924983	40.655694
15	42991641	-74.246057	40.509297
16	42860570	-73.9367153	40.743187
17	42467355	-73.924014	40.655754
18	42991645	-74.246903	40.509045
19	42860576	-73.934869	40.7429782
20	42467360	-73.9233908	40.6558712
21	42860580	-73.9339434	40.7428716
22	42467369	-73.9629924	40.592074
23	42860586	-73.9320829	40.7426573
24	42991658	-74.248531	40.508571
25	42467372	-73.960736	40.592327
26	42467374	-73.959135	40.592504
27	42860591	-73.9311591	40.7425509
28	42991662	-74.2489443	40.508451
29	42991666	-74.249069	40.508413
30	42860595	-73.9302235	40.7424392
31	42860598	-73.9293064	40.7423375
32	42991670	-74.249483	40.508282
33	42860601	-73.9283627	40.7422289
34	42991673	-74.250329	40.508032
35	42860603	-73.92655	40.7420201
36	279183419	-73.728304	40.670889
37	42860605	-73.9255878	40.7419092
38	42860609	-73.9246619	40.7418026
39	42467396	-74.0104226	40.6794648
40	42860613	-73.9237379	40.7416962
41	42860615	-73.9228123	40.7415896
42	42860617	-73.9218821	40.7414824
43	42860618	-73.920948	40.7413748
44	42467403	-74.005222	40.679762
45	42467405	-74.004419	40.679548
46	42860622	-73.9200231	40.7412683
47	2757492815	-73.8808055	40.8574691
48	42860624	-73.9181651	40.7410543
49	42991698	-74.1218511	40.5742124
50	42991702	-74.121604	40.573556
51	679215190	-74.1527601	40.5629126
52	42467417	-74.001905	40.678935
53	42860635	-73.915384	40.740729
54	6115033181	-74.1033293	40.6245469
55	6115033182	-74.1029919	40.6245811
56	42991710	-74.121625	40.571502
57	42467425	-73.9412696	40.6791703
58	280232037	-73.8138711	40.7278286
59	42991718	-74.122595	40.570596
60	42467431	-73.9413807	40.6780813
61	42467435	-73.941463	40.6772
62	42860653	-73.861748	40.7450185
63	42467437	-73.941535	40.676421
64	42991727	-74.123427	40.569908
65	42860656	-73.859585	40.745735
66	42860659	-73.8566564	40.7466127
67	42467443	-73.9416044	40.6756419
68	42991732	-74.124899	40.568949
69	42860663	-73.8551852	40.7470505
70	42467448	-73.941694	40.674748
71	42467452	-73.941775	40.673859
72	42991741	-74.1271413	40.5675766
73	42860670	-73.907784	40.740745
74	42467454	-73.94186	40.672968
75	42467456	-73.941945	40.672078
76	42991742	-74.127762	40.566947
77	42991746	-74.1282257	40.5665681
78	42860675	-73.9054703	40.7401759
79	42467460	-73.94203	40.671185
80	42860677	-73.9045337	40.7399251
81	42991749	-74.128572	40.566312
82	42467463	-73.942106	40.670342
83	42991752	-74.12942	40.565721
84	42467466	-73.9421892	40.6694159
85	42467469	-73.942285	40.668461
86	42467470	-73.942361	40.667622
87	42991758	-74.130088	40.565256
88	42467472	-73.942444	40.666727
89	6145441938	-73.7740134	40.7096193
90	42467474	-73.942528	40.665838
91	42860692	-73.8958915	40.7390711
92	42467476	-73.942613	40.664947
93	42467478	-73.942696	40.664055
94	279183512	-73.7280555	40.6715721
95	42467480	-73.942829	40.662847
96	42467482	-73.942767	40.66206
97	106692763	-73.8536712	40.8268146
98	42467484	-73.942688	40.661321
99	42860701	-73.892246	40.73899
100	42467487	-73.94255	40.659892
101	42467490	-73.942314	40.6576064
102	42860713	-73.7890629	40.7098537
103	42467502	-73.944617	40.700405
104	42467503	-73.944403	40.700545
105	42860721	-73.857927	40.68939
106	42467507	-73.9430797	40.7014417
107	42860724	-73.85619	40.689759
108	42860726	-73.855346	40.690011
109	42860730	-73.854633	40.690214
110	42991803	-74.133407	40.56213
111	42860734	-73.853785	40.690457
112	42991809	-74.134808	40.560799
113	42860740	-73.853045	40.690684
114	42467525	-73.97305	40.604282
115	42467527	-73.973408	40.601702
116	42467529	-73.973755	40.599221
117	42991817	-74.136601	40.558389
118	42991819	-74.137394	40.558021
119	42467532	-73.974083	40.596883
120	42860749	-73.84924	40.691706
121	42467533	-73.974124	40.596598
122	42860752	-73.84836	40.691955
123	42467536	-73.974652	40.594017
124	42991825	-74.1381583	40.5576224
125	42467539	-73.974913	40.592191
126	6776160464	-74.1708675	40.5292217
127	42860766	-73.732168	40.729155
128	42467551	-73.9605954	40.7110406
129	42860771	-73.731235	40.728947
130	4695130342	-73.823739	40.7120652
131	42860775	-73.730302	40.72874
132	280232168	-73.8110132	40.7274442
133	42860779	-73.729401	40.728539
134	4695130347	-73.8244185	40.7125578
135	42991854	-74.1398551	40.5557383
136	42991858	-74.1402091	40.5549704
137	42860787	-73.7276	40.728136
138	42991860	-74.1402692	40.5548022
139	280232186	-73.8152006	40.7292313
140	42860796	-73.72575	40.727872
141	42860801	-73.724298	40.727697
142	42991879	-74.1411772	40.5535622
143	42860809	-73.781197	40.711884
144	42860812	-73.780151	40.712083
145	42860818	-73.778401	40.712415
146	42860825	-73.77665	40.712727
147	42860828	-73.776158	40.712847
148	42860833	-73.775261	40.713074
149	42860837	-73.774376	40.713306
150	42991909	-74.143696	40.55243
151	42860840	-73.773545	40.713564
152	42860843	-73.771941	40.714189
153	42860846	-73.771134	40.714502
154	42860849	-73.770328	40.714811
155	42729782	-73.7917267	40.8064666
156	42991927	-74.145293	40.551563
157	42729784	-73.7924962	40.8047726
158	42860861	-73.863064	40.688472
159	42860864	-73.861349	40.688695
160	42729796	-73.893299	40.844307
161	42860869	-73.858737	40.689041
162	42467653	-73.966812	40.577992
163	42729799	-73.891998	40.845839
164	42860873	-73.857869	40.689221
165	42729809	-73.891784	40.845735
166	2693529937	-74.2097987	40.5295153
167	42729812	-73.890866	40.847241
168	42860885	-73.8192181	40.7004197
169	42467670	-73.9883915	40.578586
170	42729815	-73.890401	40.84784
171	42729818	-73.889795	40.848608
172	42467675	-73.9879499	40.576287
173	42860892	-73.765714	40.716393
174	42467677	-73.9876346	40.5746412
175	42729822	-73.889239	40.849472
176	42860896	-73.763355	40.717411
177	42729824	-73.8881484	40.8510358
178	42729826	-73.88723	40.852488
179	42729829	-73.886451	40.854041
180	42467685	-73.920819	40.613756
181	42860903	-73.760845	40.718494
182	42467687	-73.9190067	40.6121215
183	411566447	-74.0618483	40.6015515
184	42860912	-73.759216	40.719199
185	42729842	-73.8868679	40.854102
186	42729844	-73.886186	40.85487
187	42860917	-73.758374	40.7195651
188	42467702	-73.924249	40.648539
189	42729848	-73.885433	40.855759
190	42860921	-73.757514	40.720035
191	42729851	-73.884646	40.856695
192	42860924	-73.756811	40.720538
193	42467707	-73.9241609	40.6481859
194	6166413694	-73.9731928	40.7456132
195	2262434175	-73.9177213	40.7432249
196	42860928	-73.755401	40.721541
197	42729857	-73.883605	40.8579278
198	42467711	-73.924019	40.64668
199	42992000	-74.1501051	40.5508242
200	42860933	-73.754331	40.722309
201	276038022	-73.9455087	40.752055
202	42467718	-73.9238204	40.6448075
203	42729864	-73.8833884	40.8581791
204	42860938	-73.753944	40.722607
205	42729868	-73.8298599	40.8821753
206	42729869	-73.8301498	40.8827022
207	42467726	-73.923565	40.642499
208	42860943	-73.718586	40.726766
209	42729874	-73.8305752	40.8833748
210	42860947	-73.834673	40.695888
211	42729876	-73.8308163	40.8837784
212	42860948	-73.8337378	40.696149
213	42467732	-73.923375	40.640495
214	42860951	-73.832932	40.696383
215	42992022	-74.151086	40.549674
216	42860954	-73.831302	40.696846
217	42467738	-73.923354	40.640177
218	43011236	-74.20857	40.549261
219	42860957	-73.830472	40.697082
220	42467742	-73.923168	40.638837
221	42729888	-73.8090511	40.824083
222	42860961	-73.829607	40.697328
223	42467746	-73.9230511	40.6378629
224	42860963	-73.828577	40.697619
225	42467749	-73.922832	40.635543
226	42467751	-73.922587	40.633209
227	6166413736	-73.9505843	40.7415539
228	42467752	-73.922335	40.630866
229	42729898	-73.8091021	40.8245923
230	42860970	-73.82631	40.698258
231	42860972	-73.825447	40.698501
232	42467757	-73.921836	40.62619
233	42467756	-73.922087	40.628528
234	42467759	-73.921594	40.623919
235	42467760	-73.921359	40.621718
236	42729905	-73.8092779	40.8250118
237	42467761	-73.921102	40.619309
238	42467755	-73.922215	40.62973
239	42729908	-73.80943	40.8251985
240	42860981	-73.8238757	40.698934
241	42467766	-73.920852	40.616972
242	42467767	-73.920624	40.614839
243	42860984	-73.823634	40.6989998
244	42467764	-73.920971	40.618123
245	42467770	-73.920527	40.613943
246	43011242	-74.2137	40.545981
247	42992054	-74.1526701	40.5493961
248	42860989	-73.822992	40.699207
249	42729917	-73.7875366	40.8440323
250	42729919	-73.7854264	40.8444439
251	42860992	-73.82213	40.699454
252	42467776	-73.9251259	40.65743
253	42467777	-73.925141	40.65698
254	42992066	-74.154329	40.548812
255	42992059	-74.1533772	40.5492445
256	42467788	-73.924821	40.654162
257	42729933	-73.906805	40.864426
258	42467790	-73.92464	40.6525
259	42861007	-73.8456821	40.6927085
260	42861008	-73.844386	40.693086
261	42467793	-73.924421	40.650469
262	42861011	-73.842661	40.693573
263	42861013	-73.840062	40.694314
264	42729942	-73.904105	40.865745
265	1819673049	-73.9105017	40.9016289
266	42467803	-73.942267	40.701637
267	42861020	-73.723559	40.727609
268	42729951	-73.831965	40.84214
269	42861024	-73.718693	40.727006
270	42467807	-73.9423855	40.702346
271	42729954	-73.832008	40.84363
272	6858998243	-73.8803017	40.8055588
273	597688804	-73.8315261	40.6998554
274	42467811	-73.942495	40.703053
275	42467814	-73.942614	40.703764
276	42729959	-73.831892	40.844381
277	42467817	-73.942734	40.704473
278	42729964	-73.831771	40.845311
279	42861036	-73.751912	40.723947
280	42861038	-73.75119	40.724379
281	42467823	-73.942966	40.705888
282	42467820	-73.94285	40.705182
283	42861041	-73.750418	40.724846
284	42467825	-73.943086	40.706597
285	42861043	-73.749642	40.725314
286	42467828	-73.943202	40.707335
287	6872498672	-74.13184	40.6403509
288	6872498676	-74.1317021	40.6401701
289	42729975	-73.808818	40.82064
290	42861048	-73.748187	40.726214
291	42729977	-73.808958	40.821588
292	597688823	-73.8363937	40.7022926
293	42861051	-73.74751	40.72671
294	42467835	-73.94344	40.708781
295	42467831	-73.943322	40.708071
296	1819673081	-73.9078633	40.9022691
297	2111046135	-73.8327214	40.6498067
298	42992124	-74.159295	40.546022
299	42861057	-73.746804	40.727223
300	42729986	-73.899348	40.844738
301	42467844	-73.943788	40.710901
302	42729989	-73.898657	40.845949
303	42861062	-73.7453171	40.7281493
304	42992135	-74.164231	40.543301
305	42729992	-73.898061	40.847028
306	42467848	-73.943911	40.711641
307	42467850	-73.944032	40.712378
308	1819673097	-73.9057119	40.9003723
309	42992139	-74.164765	40.542672
310	42729999	-73.897342	40.848315
311	42861072	-73.743862	40.729032
312	42730002	-73.896597	40.849642
313	42467858	-73.944148	40.713087
314	42992146	-74.1653785	40.5421537
315	42730005	-73.895563	40.851469
316	42467863	-73.944265	40.713796
317	42861082	-73.8132177	40.7026489
318	42861084	-73.811632	40.703052
319	42730013	-73.895093	40.8523
320	42730015	-73.894205	40.853855
321	42730016	-73.893984	40.854247
322	42730017	-73.893136	40.855244
323	42861087	-73.810578	40.703338
324	42730018	-73.89263	40.855823
325	42861090	-73.808788	40.703822
326	42861092	-73.807584	40.704146
327	42861094	-73.805648	40.704672
328	42861095	-73.803572	40.705233
329	42467880	-73.944499	40.715228
330	42730025	-73.892121	40.856404
331	42861097	-73.8026756	40.7054753
332	42861099	-73.801657	40.705761
333	42861100	-73.79997	40.70638
334	42730029	-73.891679	40.857001
335	42467885	-73.944615	40.715939
336	2338849319	-73.9667479	40.5828801
337	42861104	-73.796317	40.707723
338	42861105	-73.795426	40.70805
339	42467889	-73.944734	40.716649
340	42730035	-73.8912672	40.8576139
341	42861107	-73.793948	40.708623
342	42861109	-73.793057	40.708917
343	42861110	-73.792166	40.709218
344	42467894	-73.944966	40.718066
345	42467896	-73.945084	40.718782
346	42730040	-73.891113	40.857851
347	42467892	-73.94485	40.717357
348	42861111	-73.790117	40.709906
349	42730044	-73.890603	40.858406
350	42992181	-74.1690216	40.5401008
351	42992191	-74.169586	40.540047
352	42730048	-73.889779	40.859353
353	42467904	-73.945108	40.718874
354	42730050	-73.888886	40.86038
355	42861122	-73.846618	40.692495
356	42861121	-73.847041	40.692372
357	42861127	-73.817929	40.700888
358	42467912	-73.946041	40.720159
359	42992201	-74.17092	40.539232
360	42992205	-74.171956	40.53836
361	42467919	-73.946503	40.720789
362	42730063	-73.9117563	40.8220906
363	498729553	-73.7247726	40.7256634
364	498729554	-73.7248055	40.7255271
365	498729555	-73.723273	40.72896
366	42861140	-73.7540519	40.7709144
367	42861138	-73.754973	40.7707271
368	42730064	-73.911468	40.822758
369	498729559	-73.724016	40.72905
370	42992207	-74.172292	40.538138
371	42467929	-73.947234	40.722144
372	42992219	-74.174898	40.537417
373	42861148	-73.750353	40.771906
374	42730077	-73.910847	40.8242044
375	42467934	-73.947474	40.722727
376	42730079	-73.9105976	40.8246174
377	42730080	-73.9099189	40.8258232
378	42730082	-73.909556	40.826511
379	42730085	-73.9092833	40.8270154
380	42467942	-74.0033642	40.6689471
381	42992229	-74.17605	40.536804
382	42861161	-73.9414712	40.7508947
383	498729578	-73.7263269	40.7415821
384	471204459	-73.8717748	40.8576747
385	42730090	-73.908604	40.828225
386	42730093	-73.908103	40.82914
387	42861164	-73.942072	40.750241
388	42992234	-74.176392	40.536621
389	42861168	-73.9438774	40.748215
390	42730097	-73.907722	40.829823
391	597688945	-73.8733973	40.7076964
392	42730101	-73.906838	40.831385
393	597688952	-73.8689522	40.7069463
394	42730107	-73.905915	40.833055
395	42861179	-73.9329043	40.7601811
396	597688957	-73.8772616	40.7068454
397	597688959	-73.8754238	40.7066522
398	42730113	-73.904634	40.835336
399	42861185	-73.9342599	40.7587025
400	42992258	-74.1788844	40.5355243
401	42861190	-73.936581	40.756212
402	42730120	-73.904159	40.836181
403	689570441	-73.8329279	40.8428519
404	42861193	-73.937549	40.75516
405	42730123	-73.903338	40.837642
406	689570444	-73.8326436	40.842856
407	42861196	-73.93871	40.753898
408	597688968	-73.902432	40.7140037
409	42730127	-73.902647	40.838874
410	42861200	-73.939871	40.75264
411	597688974	-73.9029766	40.7142063
412	42992270	-74.1798926	40.5357126
413	42730131	-73.901877	40.840246
414	474743444	-73.8494118	40.827116
415	42861204	-73.9410644	40.7513332
416	42730136	-73.901118	40.841599
417	42992281	-74.184012	40.534897
418	42730140	-73.900333	40.842989
419	42861213	-73.9107533	40.7828557
420	42467996	-73.910438	40.639919
421	42861216	-73.9129106	40.7810949
422	42992289	-74.1854519	40.5344042
423	42992292	-74.186298	40.534095
424	42861221	-73.9151352	40.7792621
425	42730155	-73.8222457	40.8345604
426	42730157	-73.822679	40.835678
427	42468013	-73.911567	40.641734
428	42730160	-73.822973	40.837179
429	42861232	-73.9172945	40.777494
430	42730162	-73.82302	40.83855
431	42861235	-73.921656	40.773931
432	42468018	-73.965555	40.58077
433	42468019	-73.965334	40.580157
434	42468022	-73.965046	40.579364
435	42992308	-74.190235	40.532742
436	42468024	-73.9649177	40.5790119
437	42992313	-74.1917467	40.531916
438	42730171	-73.8143578	40.8248447
439	42861243	-73.92216	40.7735424
440	42730173	-73.81581	40.826526
441	42468028	-73.96419	40.577018
442	42468031	-73.96394	40.575631
443	42730177	-73.817337	40.828318
444	42861252	-73.9290481	40.7751748
445	42992324	-74.193984	40.530871
446	42730182	-73.8188897	40.8301704
447	42468041	-73.965632	40.582068
448	42992332	-74.196084	40.529912
449	451019469	-73.9951562	40.7007242
450	42992337	-74.197794	40.529032
451	42861267	-73.926862	40.774185
452	42730198	-73.866169	40.873335
453	42468058	-73.965691	40.58181
454	42861275	-73.824671	40.774515
455	42992348	-74.2005339	40.5273765
456	42861280	-73.819653	40.774521
457	279184096	-73.7279096	40.6646843
458	42468065	-73.965814	40.581266
459	42468067	-73.965945	40.580689
460	42468072	-73.994687	40.646342
461	42468073	-73.994528	40.645598
462	42468074	-73.994268	40.644536
463	42468075	-73.994241	40.643603
464	42861292	-73.8467419	40.7744688
465	42992360	-74.2011843	40.5267772
466	42468078	-73.99426	40.643301
467	4206756592	-73.785955	40.7897661
468	42861296	-73.8454198	40.7744308
469	451019504	-73.9905108	40.7016457
470	42468080	-73.994273	40.642711
471	42468082	-73.99429	40.641807
472	2570584821	-73.8015313	40.7073161
473	42468086	-73.99431	40.640914
474	42861304	-73.8427256	40.7743329
475	42730232	-73.865294	40.873335
476	42861309	-73.841838	40.7742948
477	42992383	-74.2015568	40.5263084
478	42468096	-73.994426	40.639154
479	42468099	-73.994536	40.638308
480	42992388	-74.2027707	40.5259127
481	42468102	-73.99464	40.63746
482	42861322	-73.926909	40.774088
483	42468108	-73.994846	40.635761
484	42992397	-74.2052628	40.5255856
485	42468111	-73.994962	40.634916
486	42468114	-73.995075	40.634077
487	42861331	-73.935739	40.777157
488	42468117	-73.99518	40.633227
489	42730262	-73.86431	40.872795
490	42861335	-73.935399	40.777056
491	42468120	-73.995394	40.631881
492	42468118	-73.995293	40.632391
493	42992412	-74.2096165	40.525217
494	42861342	-73.9326308	40.776152
495	42468128	-73.99546	40.631575
496	42468132	-73.995677	40.630789
497	42468137	-73.995896	40.630015
498	42861354	-73.815864	40.774422
499	42861355	-73.815151	40.774356
500	42468139	-73.996115	40.629232
501	5333189421	-73.9355028	40.8315002
502	5333189422	-73.9356338	40.8315482
503	5333189423	-73.9356973	40.8312125
504	42861360	-73.812978	40.774185
505	5333189424	-73.9358211	40.831269
506	5333189426	-73.93585	40.8309866
507	5333189427	-73.9360376	40.8307352
508	5333189428	-73.9361611	40.8305472
509	42861365	-73.806883	40.773702
510	42730285	-73.863866	40.872298
511	42468144	-73.996557	40.627641
512	42468150	-73.996788	40.626826
513	42992435	-74.2120212	40.5243215
514	42861371	-73.798719	40.773054
515	42861376	-73.79848	40.773039
516	42468161	-73.997017	40.626062
517	42992448	-74.216733	40.522366
518	42992450	-74.2173915	40.5209494
519	42861380	-73.796615	40.772891
520	42730310	-73.835007	40.838107
521	42468167	-73.997241	40.625289
522	42861384	-73.7956364	40.7730896
523	42730312	-73.833265	40.83893
524	42992454	-74.220138	40.519622
525	42468171	-73.997484	40.62452
526	42861388	-73.793652	40.77336
527	42730316	-73.831541	40.839747
528	1696727885	-73.9568913	40.7485181
529	5550244687	-73.9612134	40.7648966
530	42861392	-73.792713	40.773788
531	5550244688	-73.9615991	40.7650445
532	42861394	-73.791635	40.774239
533	42730322	-73.830559	40.840203
534	5550244689	-73.9615223	40.7651455
535	42861397	-73.789842	40.774687
536	42730326	-73.829674	40.840609
537	42468177	-73.997986	40.622567
538	42468180	-73.9982816	40.6216577
539	42861401	-73.7889499	40.7749061
540	42730330	-73.828767	40.840965
541	42468183	-73.998389	40.621259
542	42468186	-73.998595	40.620502
543	42861405	-73.78741	40.775318
544	42861406	-73.786551	40.775558
545	42730333	-73.827913	40.841259
546	4987290456	-73.9100612	40.5614668
547	42861409	-73.786265	40.775646
548	42468193	-73.998812	40.619721
549	42730339	-73.827032	40.841318
550	42861412	-73.785694	40.775813
551	1927807845	-73.9221287	40.7551516
552	42730342	-73.826084	40.841372
553	42468197	-73.999036	40.618946
554	42861416	-73.7849398	40.7760143
555	42861421	-73.7840815	40.7762678
556	42468207	-73.999271	40.618178
557	42730353	-73.80166	40.809072
558	42468210	-73.999426	40.617628
559	42468211	-73.999493	40.6174088
560	42861430	-73.7827904	40.7766265
561	42468214	-73.999709	40.616621
562	42468217	-73.999944	40.615782
563	42861435	-73.7785709	40.7778702
564	2408448891	-73.9256579	40.8211427
565	2408448893	-73.9281415	40.8165145
566	42468222	-74.0004133	40.6141787
567	42861439	-73.7767709	40.7783629
568	461767551	-73.8385267	40.7101805
569	2408448896	-73.926803	40.819458
570	42861442	-73.7758387	40.7786295
571	2408448899	-73.9210997	40.8264782
