id	osmid	x	y
0	30081024	14.4146451	50.0007006
1	21299201	14.4883924	50.1267189
2	21299202	14.4990887	50.1185299
3	21299203	14.5072287	50.1228063
4	60948481	14.3638622	50.1021193
5	64815109	14.4268938	50.0575307
6	21299205	14.5005817	50.1275002
7	64815111	14.426199	50.057489
8	30081029	14.4112069	50.0020373
9	21299209	14.4940575	50.1286765
10	30081033	14.4077683	50.0020583
11	21299211	14.4882651	50.1266596
12	21299212	14.4990512	50.1183755
13	60948485	14.3646957	50.1027311
14	60948489	14.3649721	50.1021605
15	21299215	14.4871422	50.1275076
16	21299216	14.4870807	50.1277194
17	21299217	14.4865284	50.1274453
18	30081035	14.4083142	50.0013906
19	2142306319	14.4348125	49.9924781
20	21299221	14.4852698	50.1276766
21	64815125	14.423268	50.0574366
22	294780951	14.5050254	50.1184675
23	21299224	14.5013752	50.1248588
24	21299225	14.503048	50.1242959
25	21299226	14.4989181	50.1258964
26	245563417	14.5037932	50.0567467
27	21299228	14.5038607	50.1248344
28	60948509	14.3650359	50.1016634
29	245563418	14.5050946	50.0567324
30	60948511	14.3647918	50.1010271
31	26804256	14.3523497	50.0959657
32	245563420	14.5105961	50.0580248
33	245563425	14.5128097	50.0556926
34	245563426	14.5127419	50.0551622
35	26804260	14.3528654	50.0949115
36	60948517	14.3671178	50.1009957
37	245563429	14.5121084	50.0543666
38	64815143	14.4210186	50.0544933
39	245563430	14.5122477	50.0539068
40	517603369	14.385134	49.9653108
41	60948522	14.3636319	50.1031615
42	137494571	14.4960919	50.1027682
43	245563431	14.5176018	50.0542012
44	517603373	14.3843518	49.9657106
45	245563434	14.5125019	50.0546159
46	517603375	14.3862371	49.9649735
47	2076704815	14.2980187	50.0293745
48	26804273	14.3491856	50.09407
49	245563433	14.5149669	50.0547819
50	64815157	14.4260094	50.0582816
51	517603383	14.3867034	49.9655694
52	64815160	14.426605	50.0551546
53	60948540	14.3638719	50.1001431
54	64815165	14.4264266	50.0560528
55	517603389	14.3856174	49.9659046
56	517603392	14.3875183	49.9695309
57	64815169	14.4250162	50.055886
58	31850562	14.3801981	50.0722151
59	31850563	14.381183	50.0728903
60	64815172	14.4249863	50.0549857
61	31850565	14.381002	50.0735086
62	31850566	14.3804342	50.0735885
63	517603394	14.3874118	49.96967
64	31850568	14.3780606	50.0729153
65	31850569	14.3802006	50.0707586
66	517603398	14.3889577	49.9695593
67	517603396	14.3881272	49.9699169
68	517603403	14.3886037	49.9699816
69	517603405	14.3892596	49.9700022
70	64815182	14.428105	50.0559955
71	60948558	14.3666425	50.1018982
72	60948560	14.3686125	50.1028966
73	60948561	14.3721149	50.1037941
74	60948562	14.3731158	50.1038786
75	517603411	14.3894061	49.9719805
76	60948563	14.3720081	50.1042445
77	517603413	14.3907028	49.9724349
78	64815190	14.4281148	50.0552013
79	236781650	14.4775655	50.1020411
80	60948564	14.3719775	50.1044011
81	207224917	14.4867641	50.1430775
82	207224920	14.487006	50.1430649
83	26804315	14.3471515	50.0959686
84	25952344	14.4367382	49.9932802
85	25952345	14.4356762	49.9937648
86	736821342	14.3985957	50.0408729
87	25952352	14.4343974	49.9944663
88	736821345	14.3978116	50.040199
89	4706009192	14.347157	50.099622
90	123011177	14.4877246	50.1553855
91	25952365	14.4291982	49.9970435
92	60686446	14.3200493	50.0827962
93	26804335	14.3465412	50.0966611
94	60686445	14.3198211	50.0831063
95	60686447	14.3186927	50.0823424
96	60686448	14.3184226	50.0826519
97	123011187	14.489082	50.1540255
98	26804340	14.3462306	50.0977361
99	60686449	14.3147634	50.0835238
100	60686450	14.3164259	50.0831455
101	60686451	14.3169528	50.0831508
102	60686456	14.3172445	50.0812196
103	60686453	14.3176501	50.0819838
104	60686455	14.3155861	50.0811714
105	26804347	14.3474867	50.0979235
106	60686459	14.3146293	50.0807527
107	123011197	14.494549	50.1424928
108	60686464	14.3191935	50.0804041
