time_ms	origin	dest
4000.0	3859	2540
12000.0	2190	4033
25000.0	4540	3482
85000.0	1697	3482
88000.0	1613	4171
95000.0	2715	2807
133000.0	309	3571
137000.0	1885	344
148000.0	3725	1821
165000.0	3915	2210
184000.0	4460	3335
216000.0	1844	2535
268000.0	2807	945
269000.0	699	2018
275000.0	4393	3801
279000.0	717	4474
330000.0	3374	3440
384000.0	1642	1333
406000.0	1046	1148
406000.0	1206	3262
422000.0	1813	3321
474000.0	3566	666
480000.0	3921	2889
489000.0	4326	4027
528000.0	475	4350
557000.0	264	3550
559000.0	3823	2104
626000.0	4038	2470
628000.0	2809	1956
643000.0	1121	2713
672000.0	1506	3550
690000.0	2576	2578
727000.0	780	4253
799000.0	3977	473
803000.0	2323	3415
834000.0	829	2040
847000.0	3120	1391
851000.0	4095	2854
904000.0	1932	1911
906000.0	292	4330
912000.0	2396	1835
934000.0	356	3674
976000.0	3509	1103
976000.0	1307	3755
998000.0	774	4527
999000.0	3829	2393
1004000.0	3855	2556
1013000.0	1202	4107
1018000.0	1798	3483
1028000.0	734	4474
1034000.0	3114	1373
1041000.0	4452	3183
1048000.0	984	473
1073000.0	4228	677
1077000.0	3535	2274
1082000.0	4456	2406
1097000.0	210	2512
1099000.0	327	2581
1112000.0	3795	246
1128000.0	4268	2091
1180000.0	48	2449
1190000.0	1279	2381
1193000.0	3269	3883
1207000.0	1497	4133
1227000.0	1486	1851
1248000.0	963	4308
1253000.0	3013	1579
1260000.0	1812	1178
1272000.0	4382	1250
1295000.0	3820	2456
1304000.0	1001	123
1376000.0	3621	719
1381000.0	93	4482
1386000.0	2528	2397
1408000.0	35	1990
1411000.0	2062	2381
1431000.0	3100	2566
1434000.0	1324	292
1449000.0	1448	3725
1452000.0	3595	3550
1471000.0	1745	1351
1492000.0	1041	2861
1530000.0	3475	2456
1533000.0	3131	521
1542000.0	4136	1268
1576000.0	4275	1729
1589000.0	132	1835
1610000.0	4380	3571
1630000.0	1640	1386
1633000.0	4396	1573
1635000.0	925	4527
1658000.0	2084	2994
1668000.0	1447	992
1683000.0	1902	2767
1692000.0	2188	4382
1715000.0	2728	3188
1737000.0	3803	3246
1755000.0	1889	3543
1762000.0	70	3188
1770000.0	2805	981
1773000.0	1576	130
1776000.0	3833	2884
1804000.0	1140	1828
1806000.0	3405	1839
1815000.0	3364	2976
1841000.0	2533	1729
1854000.0	1981	2798
1859000.0	4089	3207
1860000.0	4339	687
1876000.0	4230	1661
1877000.0	1812	3418
1900000.0	620	1832
1925000.0	3332	3274
1926000.0	1289	3292
1943000.0	690	2689
1957000.0	4344	2139
1981000.0	281	2286
1987000.0	613	473
1998000.0	1754	1021
2000000.0	2582	4037
2004000.0	1020	2861
2010000.0	1170	89
2016000.0	2375	3268
2018000.0	437	1396
