id	osmid	x	y
0	42958856	-74.12707	40.5764041
1	274317321	-73.8421493	40.7625586
2	278609934	-74.0015481	40.7096039
3	1570455573	-73.9044455	40.900641
4	42991645	-74.246903	40.509045
5	42811421	-73.936152	40.775598
6	1773076511	-73.9939846	40.7202997
7	1773076513	-73.9941898	40.719922
8	42795046	-73.8489836	40.6711006
9	4202348586	-73.8997303	40.8314832
10	6517112874	-73.8853525	40.7730331
11	42811435	-73.9318273	40.7742091
12	6624493612	-73.9821944	40.7778264
13	1570455595	-73.9045835	40.9006021
14	1570455599	-73.9041399	40.9010228
15	482541616	-73.8950247	40.7643061
16	3786620972	-74.0673772	40.6043151
17	446513198	-74.1892595	40.6038225
18	42811451	-73.927443	40.772845
19	599162950	-73.8100702	40.5902356
20	274415687	-73.8477111	40.7592385
21	598622280	-73.896871	40.6758153
22	598622281	-73.8968273	40.6756714
23	1579630668	-73.9079755	40.8927225
24	2757492815	-73.8808055	40.8574691
25	599162961	-73.8105609	40.590431
26	42844241	-73.9513358	40.7432251
27	599162966	-73.8171695	40.5857343
28	599162967	-73.8159566	40.5837912
29	60653656	-73.8650533	40.8254174
30	599162968	-73.8159081	40.5836721
31	102989915	-73.8840643	40.8928126
32	599162972	-73.815413	40.5839155
33	599162973	-73.8167152	40.5859487
34	599162971	-73.815376	40.5838038
35	457015393	-73.8118926	40.693966
36	42844264	-73.94565	40.745818
37	3400630381	-73.834402	40.8545191
38	3400630384	-73.8348311	40.8534723
39	1698103410	-73.8704944	40.7736351
40	2808692852	-73.9165868	40.8454408
41	464765047	-73.7774372	40.7222954
42	452395133	-73.8458932	40.6641936
43	43008126	-74.1756896	40.6259758
44	4205199493	-73.7512141	40.683722
45	274301063	-73.7761034	40.7546675
46	4205199495	-73.7509674	40.6842071
47	106643594	-73.8413719	40.7416597
48	4205199498	-73.7502056	40.6856064
49	42811531	-73.810041	40.5899283
50	42811533	-73.810095	40.5904558
51	42991758	-74.130088	40.565256
52	106643601	-73.83958	40.742042
53	42844306	-73.9373948	40.7489234
54	4205199509	-73.7487905	40.6874292
