time_ms	origin	dest
29000.0	5870	7725
34000.0	2625	6967
36000.0	21216	191
37000.0	17599	33081
183000.0	27314	49046
243000.0	38092	15613
248000.0	49719	52056
248000.0	13478	30082
260000.0	51822	19756
263000.0	10807	36802
331000.0	42108	23553
352000.0	15063	17820
374000.0	8527	50810
421000.0	43384	36091
470000.0	54270	21748
472000.0	11023	10199
481000.0	27113	25686
508000.0	38637	4288
565000.0	39628	34866
597000.0	51209	1446
608000.0	48810	15419
640000.0	15393	17322
670000.0	10729	52471
691000.0	51137	24693
796000.0	2882	40942
810000.0	49742	46498
841000.0	44100	47782
846000.0	18723	13301
902000.0	8756	175
912000.0	46680	51805
927000.0	4062	11845
955000.0	46684	7835
955000.0	38451	51836
960000.0	11053	26606
961000.0	37827	2053
1013000.0	52685	40963
1026000.0	31700	31115
1027000.0	22246	41020
1032000.0	26379	20268
1060000.0	34177	49789
1061000.0	48385	807
1062000.0	212	9609
1067000.0	48152	51510
1073000.0	17327	11774
1082000.0	34964	6798
1097000.0	20834	27999
1097000.0	2915	50507
1112000.0	6521	19995
1129000.0	19129	47833
1129000.0	32509	38583
1140000.0	38620	47936
1152000.0	15592	315
1173000.0	33299	47784
1190000.0	36974	36342
1202000.0	6857	18053
1249000.0	20568	31336
1278000.0	5109	34204
1282000.0	14914	1622
1286000.0	10595	29102
1362000.0	3033	5943
1384000.0	53548	45549
1394000.0	5832	14122
1413000.0	19098	19187
1447000.0	1076	7987
1457000.0	30225	26635
1499000.0	48444	36746
1501000.0	377	21665
1504000.0	35136	42857
1519000.0	27698	20250
1535000.0	51348	16623
1554000.0	3450	17813
1581000.0	3468	6455
1584000.0	27341	30125
1587000.0	30382	15351
1595000.0	29697	35359
1598000.0	17353	31283
1602000.0	40319	51121
1625000.0	53057	33634
1657000.0	33950	31398
1670000.0	45172	52471
1683000.0	47891	51992
1697000.0	44185	6279
1699000.0	51854	55112
1704000.0	27588	25455
1714000.0	20897	54165
1738000.0	42337	30853
1768000.0	31336	22795
1788000.0	25950	19032
1809000.0	1921	40036
1815000.0	46236	52224
1845000.0	47523	31300
1866000.0	25571	17759
1870000.0	38506	46262
1874000.0	49590	2080
1878000.0	2120	1577
1888000.0	15907	27679
1917000.0	5102	27703
1930000.0	54563	48341
1952000.0	11779	44350
1960000.0	1887	24710
1974000.0	20845	16914
2020000.0	42951	9241
