time_ms	origin	dest
0.0	1159	14500
9000.0	9890	17949
19000.0	6422	3942
33000.0	5890	7749
36000.0	5777	18270
37000.0	9880	10211
47000.0	17054	1963
51000.0	5891	3651
53000.0	16021	11718
58000.0	9831	7792
60000.0	15646	15882
61000.0	6632	10156
71000.0	20021	13909
72000.0	8832	14442
74000.0	16107	11416
77000.0	18411	18733
80000.0	18564	9340
87000.0	15428	13768
96000.0	1116	10338
96000.0	17724	17356
98000.0	6852	3463
104000.0	1101	12578
107000.0	12452	15547
129000.0	12361	2173
152000.0	20059	8065
154000.0	3046	1825
154000.0	16006	17094
155000.0	15023	8320
166000.0	4046	6298
172000.0	18047	20391
178000.0	13944	9883
181000.0	5742	16173
181000.0	6851	11874
187000.0	9019	8559
189000.0	9365	5037
190000.0	4638	3942
200000.0	4915	3063
203000.0	5461	10589
203000.0	19106	9452
209000.0	7630	15882
210000.0	9869	6652
210000.0	7365	20600
214000.0	10445	7845
227000.0	15027	6273
235000.0	1750	2127
237000.0	17496	18859
251000.0	18021	6346
259000.0	19998	278
259000.0	1184	10961
276000.0	7900	10912
280000.0	5777	20715
281000.0	9060	7260
281000.0	15498	10111
288000.0	16350	5077
299000.0	1162	11613
311000.0	16803	9092
337000.0	8672	2674
340000.0	6298	1493
343000.0	15956	10263
346000.0	11028	15534
349000.0	16069	16812
353000.0	19026	10370
356000.0	5855	7411
357000.0	4324	12621
359000.0	10147	20785
366000.0	624	7018
374000.0	12723	2683
384000.0	13947	15122
385000.0	4338	9321
386000.0	17839	6913
388000.0	16616	6080
389000.0	11231	15988
402000.0	4881	15895
413000.0	13767	12965
417000.0	13402	7355
417000.0	4267	17679
417000.0	13771	12804
426000.0	5924	5495
433000.0	6466	1460
437000.0	19754	15197
441000.0	572	13990
443000.0	729	1633
461000.0	4330	13594
462000.0	17980	13128
463000.0	1241	5081
472000.0	12720	4880
472000.0	13918	17102
473000.0	5224	7365
481000.0	5860	187
482000.0	5742	2853
488000.0	6630	19551
493000.0	10886	16202
500000.0	16203	7019
511000.0	9847	13768
511000.0	3314	7291
520000.0	19096	13913
522000.0	13445	5169
524000.0	6480	4006
530000.0	6353	5838
532000.0	14933	4244
537000.0	9983	14971
551000.0	1102	14896
558000.0	6796	621
566000.0	15738	3031
572000.0	16050	12625
579000.0	13048	17352
590000.0	917	1284
592000.0	20317	19207
599000.0	11459	18973
600000.0	2956	9337
601000.0	4492	3416
612000.0	20199	10695
617000.0	5793	12154
618000.0	8946	7123
622000.0	5091	7158
629000.0	2055	18002
637000.0	11232	381
664000.0	7056	19545
671000.0	12408	1980
672000.0	10968	18396
672000.0	15106	16315
679000.0	4258	10591
682000.0	6985	16223
682000.0	14800	18341
689000.0	5535	2123
692000.0	8959	12085
697000.0	1126	14383
701000.0	11359	19706
702000.0	15078	10705
726000.0	10327	17383
732000.0	15765	265
742000.0	7810	1926
744000.0	7267	12293
748000.0	7570	9115
751000.0	15554	17383
753000.0	9661	2898
753000.0	3567	148
757000.0	19016	20603
768000.0	2718	10417
772000.0	2331	12268
777000.0	8095	13099
777000.0	9966	8500
781000.0	10688	16609
793000.0	7522	7578
798000.0	16551	9981
802000.0	4034	6966
811000.0	4500	7220
819000.0	10109	1463
830000.0	13549	20326
834000.0	18548	14675
836000.0	12840	4622
854000.0	12415	6678
855000.0	20737	275
858000.0	9863	20180
861000.0	4854	10141
869000.0	775	8954
869000.0	16100	3942
874000.0	4270	1958
876000.0	5810	17142
889000.0	6647	15677
890000.0	11155	10350
894000.0	5616	7646
900000.0	1233	14666
901000.0	19197	17561
901000.0	12029	4606
914000.0	2519	14086
915000.0	17949	5373
921000.0	4006	368
921000.0	9411	19508
935000.0	16144	2604
940000.0	5415	14780
941000.0	9944	4960
951000.0	15956	17387
953000.0	7954	4151
956000.0	15976	3172
965000.0	14046	14689
969000.0	13431	20556
970000.0	20663	6226
971000.0	7678	4843
973000.0	10293	18645
976000.0	6274	12889
983000.0	19436	8533
993000.0	243	20285
993000.0	706	19782
999000.0	3111	4149
999000.0	6973	20091
