time_ms	origin	dest
0.0	2539	8435
16000.0	539	864
17000.0	5403	1154
18000.0	1686	6922
24000.0	2829	1154
29000.0	893	2731
57000.0	8553	4026
61000.0	6	2916
67000.0	1483	7936
68000.0	3619	1154
79000.0	8140	864
91000.0	5009	377
93000.0	5330	9236
95000.0	2387	1590
101000.0	9396	6628
103000.0	5350	8111
105000.0	435	3875
122000.0	661	864
126000.0	4147	5056
129000.0	6600	1154
129000.0	2999	1144
137000.0	3393	6628
142000.0	3265	1867
150000.0	7282	1423
150000.0	6215	7365
174000.0	6273	4860
177000.0	5124	5943
185000.0	4818	3197
189000.0	1050	1822
193000.0	3867	1404
204000.0	1375	6695
216000.0	3209	5471
233000.0	5304	4758
236000.0	1010	3369
248000.0	8661	7845
251000.0	9457	7284
251000.0	5646	2896
252000.0	2557	1694
254000.0	797	5943
255000.0	3944	9072
258000.0	4200	3585
259000.0	9440	5943
267000.0	8475	8596
275000.0	1446	7484
297000.0	8511	3620
300000.0	7245	3620
303000.0	6524	7211
306000.0	4410	9184
315000.0	1422	7156
317000.0	2459	3535
320000.0	4963	9070
323000.0	8665	8711
325000.0	3390	2387
325000.0	79	6619
327000.0	2999	8363
344000.0	1859	864
345000.0	8528	864
355000.0	5576	4583
358000.0	193	3317
366000.0	8478	1867
373000.0	6155	1154
377000.0	2517	1154
380000.0	4419	864
380000.0	1579	6189
381000.0	3271	1882
385000.0	6216	3193
386000.0	1289	1852
388000.0	4971	1154
400000.0	7510	2732
400000.0	4309	1727
400000.0	6269	8349
404000.0	4316	8956
419000.0	7286	7182
419000.0	9250	7391
430000.0	2089	1423
430000.0	5897	8360
444000.0	481	864
460000.0	6402	9070
465000.0	2398	3620
495000.0	7169	2215
504000.0	19	9458
507000.0	2509	2775
509000.0	5922	7283
519000.0	7245	7884
521000.0	1605	4631
521000.0	2660	5311
526000.0	5215	2404
541000.0	1577	1154
543000.0	8071	3620
546000.0	3415	2407
551000.0	7173	975
554000.0	3705	1154
556000.0	9403	264
558000.0	7403	8470
558000.0	5085	5434
559000.0	8522	6042
564000.0	7936	1399
573000.0	98	9135
592000.0	5814	3620
599000.0	7599	6411
618000.0	1313	6695
623000.0	3547	3176
624000.0	4558	3536
625000.0	7343	1422
630000.0	3545	751
634000.0	5241	864
634000.0	535	4584
643000.0	7174	4719
645000.0	6249	6856
652000.0	7880	5568
652000.0	5094	864
652000.0	8814	6695
656000.0	3268	150
669000.0	3541	7319
670000.0	8550	6628
671000.0	5094	751
672000.0	2472	2665
676000.0	4144	1520
682000.0	874	1154
683000.0	1448	3705
684000.0	706	489
695000.0	7794	6628
708000.0	6070	2140
709000.0	5246	3849
713000.0	1542	3369
718000.0	3944	1013
721000.0	3090	101
734000.0	1205	9380
745000.0	4560	2328
747000.0	4907	5138
751000.0	869	1910
751000.0	6262	4180
758000.0	9009	3535
770000.0	4929	6077
777000.0	6839	968
784000.0	5690	6695
793000.0	2821	1154
805000.0	8553	1423
823000.0	1498	1522
827000.0	8161	3102
831000.0	9087	1154
841000.0	5682	1522
844000.0	7438	7259
844000.0	656	6828
856000.0	8091	864
856000.0	7210	2956
857000.0	9208	5943
859000.0	6771	3704
869000.0	9241	4219
874000.0	5385	7314
881000.0	5093	9234
891000.0	5800	7109
895000.0	6268	9155
900000.0	3969	3192
922000.0	3395	377
924000.0	2746	4026
929000.0	4455	2107
947000.0	4151	4673
960000.0	8139	8419
963000.0	4088	1520
974000.0	4002	4581
975000.0	5047	4050
978000.0	540	6695
990000.0	5895	2996
999000.0	5814	1961
1014000.0	1667	185
1023000.0	6623	1154
1029000.0	9575	7207
1040000.0	3136	6459
1053000.0	5246	1777
1060000.0	3248	4858
1079000.0	3546	5130
1097000.0	2398	3197
1103000.0	5891	384
1108000.0	7225	5132
1111000.0	5651	1154
1119000.0	4715	1800
1122000.0	8646	3550
1127000.0	8818	6628
1143000.0	5501	3620
1143000.0	8115	864
1144000.0	5151	4361
1145000.0	4410	8298
1145000.0	8646	821
1151000.0	848	8183
1156000.0	9371	4718
1159000.0	4228	2665
1168000.0	5915	6628
1168000.0	9312	5505
1186000.0	5922	5408
1199000.0	3271	864
1199000.0	1401	5471
1210000.0	4731	2357
1214000.0	4239	7119
1223000.0	2708	6628
1227000.0	3540	1423
1233000.0	4637	9399
1235000.0	7241	1154
1251000.0	3727	864
1257000.0	169	864
1261000.0	5857	864
1280000.0	7773	8172
1284000.0	3752	864
1290000.0	4227	7773
1300000.0	878	864
1303000.0	7196	751
1309000.0	5647	7231
1310000.0	9386	3620
1312000.0	1050	2081
1314000.0	1423	864
1318000.0	5063	8584
1342000.0	4516	864
1346000.0	4659	377
1347000.0	5744	1867
1347000.0	7774	8161
1351000.0	655	1154
1357000.0	7168	3259
1362000.0	8960	1800
1375000.0	3541	7472
1381000.0	1483	6762
1385000.0	7915	6628
1386000.0	657	1125
1386000.0	874	437
1405000.0	2120	6325
1408000.0	7775	3535
1409000.0	4214	1422
1419000.0	9442	3902
1423000.0	9309	1154
1426000.0	271	6895
1428000.0	3348	6628
1429000.0	7884	4149
1440000.0	1875	3678
1447000.0	6461	1867
1453000.0	889	1154
1456000.0	811	864
1457000.0	6101	3620
1458000.0	1050	4853
1458000.0	3	6253
1460000.0	9396	3192
1461000.0	1309	5597
1462000.0	9551	7473
1478000.0	6528	8431
1482000.0	1875	864
1491000.0	3029	3751
1492000.0	7773	864
1515000.0	782	5412
1520000.0	4217	1356
1522000.0	2096	5746
1522000.0	5894	8652
1527000.0	4227	7884
1541000.0	6922	1412
1555000.0	1550	7321
1556000.0	3150	5943
1557000.0	5793	2833
1565000.0	1436	9399
1568000.0	1412	5478
1575000.0	5033	1154
1576000.0	1430	7605
1578000.0	5953	4860
1584000.0	6195	864
1622000.0	1907	8175
1624000.0	3934	5351
1627000.0	1787	3623
1632000.0	1574	4013
1634000.0	5345	1435
1635000.0	5529	1129
1639000.0	3778	4863
1642000.0	4662	6159
1645000.0	3552	1867
1645000.0	3208	8491
1653000.0	1659	6580
1659000.0	3805	864
1664000.0	6762	9250
1681000.0	5081	6640
1704000.0	7574	4516
1712000.0	223	751
1713000.0	9420	8552
1722000.0	5646	5751
1724000.0	4656	4860
1732000.0	1494	3578
1733000.0	8529	7804
1736000.0	1613	1128
1746000.0	5804	1422
1767000.0	7310	483
1769000.0	8092	1154
1772000.0	87	9207
1778000.0	1890	5332
1781000.0	847	864
1785000.0	9309	7287
1786000.0	8161	5353
1800000.0	4161	1154
1801000.0	3801	4855
1804000.0	3893	4561
1805000.0	99	1154
1807000.0	1526	4226
1811000.0	2180	4410
1818000.0	693	864
1818000.0	8143	2906
1825000.0	811	3620
1826000.0	1526	122
1833000.0	5932	8254
1837000.0	3090	4719
1842000.0	6806	3704
1843000.0	3193	864
1844000.0	4648	4668
1853000.0	9533	7701
1858000.0	4149	2943
1864000.0	124	4520
1879000.0	4875	6628
1899000.0	5403	864
1900000.0	1518	3620
1903000.0	4863	751
1903000.0	4197	4860
1915000.0	9235	7171
1917000.0	6267	1253
